OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
2211,072-0032,2850-000,Anneau / Rond de glace,Saint-Léonard,Loisirs et détente
2212,056-0009,9543-000,Piste cyclable,Pierrefonds-Roxboro,Plein air
2213,070-0018,0225-000,Sentier de ski de fond,Ville-Marie,Plein air
2214,016-0111,0167-000,Balle,Le Sud-Ouest,Sportif
2215,050-0054,2893-000,Pataugeoire,Verdun,Récréatif
2216,055-0019,8520-000,Piscine extérieure,Lachine,Récréatif
2217,004-0037,0048-000,Aire de jeu  5 à 12 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
2218,016-0023,0411-000,Balle,Ahuntsic-Cartierville,Sportif
2219,055-0074,2855-000,Piscine extérieure,Saint-Léonard,Récréatif
2220,081-0056,2898-000,Tennis,Verdun,Sportif
2221,055-0027,0391-000,Piscine extérieure,Ville-Marie,Récréatif
2222,020-0022,0991-000,Belvédère,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
2223,004-0088,2430-004,Aire de jeu  5 à 12 ans,Lachine,Aire de jeu - enfant
2224,009-0004,2807-000,Aire de pique-nique,Saint-Laurent,Plein air
2225,004-0378,2550-000,Aire de jeu  5 à 12 ans,Montréal-Nord,Aire de jeu - enfant
2226,003-0458,0114-001,Aire de jeu 18 mois à 5 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
2227,003-0294,2893-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
2228,004-0183,2657-000,Aire de jeu  5 à 12 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
2229,004-0395, ,Aire de jeu  5 à 12 ans,Montréal-Nord,Aire de jeu - enfant
2230,016-0030,0414-000,Balle,Ahuntsic-Cartierville,Sportif
2231,073-0064,2895-000,Soccer à 11,Verdun,Sportif
2232,073-0095-76-S2,0482-000,Soccer sous-terrain à 7,Mercier-Hochelaga-Maisonneuve,Sportif
2233,003-0122,0206-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
2234,004-0083,0011-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
2235,018-0131, ,Basketball,Mercier-Hochelaga-Maisonneuve,Récréatif
2236,001-0019,2562-000,Arbri soleil,Montréal-Nord,Plein air
2237,004-0386,2556-000,Aire de jeu  5 à 12 ans,Montréal-Nord,Aire de jeu - enfant
2238,076-0017,0014-000,Soccer à 7,Ahuntsic-Cartierville,Sportif
2239,003-0419,0965-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2240,016-0015,0236-000,Balle,Le Plateau-Mont-Royal,Sportif
2241,052-0003,2808-000,Patinoire avec bandes,Saint-Laurent,Récréatif
2242,004-0054,0064-000,Aire de jeu  5 à 12 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
2243,056-0017,0085-000,Piste cyclable,Rosemont-La Petite-Patrie,Plein air
2244,076-0025,0209-000,Soccer à 7,Rosemont-La Petite-Patrie,Sportif
2245,003-0391,0694-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2246,095-0016,0411-000,Pétanque,Ahuntsic-Cartierville,Loisirs et détente
2247,042-0080,2914-000,Jeux d'eau,Verdun,Récréatif
2248,073-0048,2693-000,Soccer à 11,Pierrefonds-Roxboro,Sportif
2249,004-0173,0909-000,Aire de jeu  5 à 12 ans,Ville-Marie,Aire de jeu - enfant
2250,076-0103,0699-000,Soccer à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
2251,003-0379,1000-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2252,073-0062,2891-000,Soccer à 11,Verdun,Sportif
2253,042-0041,0295-000,Jeux d'eau,Villeray-Saint-Michel-Parc-Extension,Récréatif
2254,004-0368,0680-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2255,021-0043,2555-000,Bocce,Montréal-Nord,Loisirs et détente
2256,050-0083,0110-000,Pataugeoire,Mercier-Hochelaga-Maisonneuve,Récréatif
2257,095-0022,2398-000,Pétanque,Lachine,Loisirs et détente
2258,021-0047,0110-000,Bocce,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
2259,003-0372,0256-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
2260,003-0425,0973-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2261,013-0018,2613-000,Aire d'exercice canin,Outremont,Loisirs et détente
2262,004-0326,0311-000,Aire de jeu  5 à 12 ans,Le Sud-Ouest,Aire de jeu - enfant
2263,009-0032,2414-000,Aire de pique-nique,Lachine,Plein air
2264,073-0021,2392-000,Soccer à 11,Lachine,Sportif
2265,003-0186,0908-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
2266,074-0016,1860-024,Soccer / Football,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
2267,004-0369,0698-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2268,013-0039,2552-000,Aire d'exercice canin,Montréal-Nord,Loisirs et détente
2269,052-0042,0210-000,Patinoire avec bandes,Rosemont-La Petite-Patrie,Récréatif
2270,009-0035,0161-000,Aire de pique-nique,Côte-des-Neiges-Notre-Dame-de-Grâce,Plein air
2271,072-0012,2817-000,Anneau / Rond de glace,Saint-Laurent,Loisirs et détente
2272,089-0057,1266-000,Volleyball de plage,Mercier-Hochelaga-Maisonneuve,Récréatif
2273,053-0080,0492-000,Patinoire sans bandes,Mercier-Hochelaga-Maisonneuve,Récréatif
2274,003-0070,0931-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
2275,003-0161,0199-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
2276,004-0362,0971-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2277,072-0023,2468-000,Anneau / Rond de glace,LaSalle,Loisirs et détente
2278,072-0016,0085-000,Anneau / Rond de glace,Rosemont-La Petite-Patrie,Loisirs et détente
2279,012-0007,0649-000,Aire d'entraînement pour adultes,Le Plateau-Mont-Royal,Loisirs et détente
2280,063-0005,2399-000,Quai,Lachine,Plein air
2281,004-0281,2443-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
2282,012-0050,0345-000,Aire d'entraînement pour adultes,Le Sud-Ouest,Loisirs et détente
2283,050-0097,2858-000,Pataugeoire,Saint-Léonard,Récréatif
2284,081-0069,2466-000,Tennis,LaSalle,Sportif
2285,056-0016,1266-000,Piste cyclable,Mercier-Hochelaga-Maisonneuve,Plein air
2286,052-0090,2904-000,Patinoire avec bandes,Verdun,Récréatif
2287,004-0187,2721-000,Aire de jeu  5 à 12 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
2288,004-0184,2659-000,Aire de jeu  5 à 12 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
2289,016-0031,0413-000,Balle,Ahuntsic-Cartierville,Sportif
2290,012-0046,2701-000,Aire d'entraînement pour adultes,Pierrefonds-Roxboro,Loisirs et détente
2291,076-0120,0973-000,Soccer à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
2292,018-0080,0146-000,Basketball,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
2293,003-0266,2359-000,Aire de jeu 18 mois à 5 ans,L'Île-Bizard-Sainte-Geneviève,Aire de jeu - enfant
2294,003-0286,0147-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
2295,010-0018,2448-000,Aire de planche à roulette,LaSalle,Récréatif
2296,003-0102,2392-000,Aire de jeu 18 mois à 5 ans,Lachine,Aire de jeu - enfant
2297,003-0324,2441-000,Aire de jeu 18 mois à 5 ans,LaSalle,Aire de jeu - enfant
2298,054-0012,0348-000,Ping-pong,Le Sud-Ouest,Loisirs et détente
2299,018-0058,0251-000,Basketball,Ville-Marie,Récréatif
2300,095-0065,0965-000,Pétanque,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
2301,021-0020,0199-000,Bocce,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
2302,003-0035,2824-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
2303,081-0081,1860-014,Tennis,Montréal-Nord,Sportif
2304,095-0095,2907-000,Pétanque,Verdun,Loisirs et détente
2305,066-0003,0160-000,Rugby / Soccer à 11,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
2306,020-0003,1286-000,Belvédère,Ville-Marie,Loisirs et détente
2307,003-0405,0713-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2308,004-0208,2687-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
2309,073-0026,0207-000,Soccer à 11,Rosemont-La Petite-Patrie,Sportif
2310,042-0003,2799-000,Jeux d'eau,Saint-Laurent,Récréatif
2311,089-0033,0401-000,Volleyball de plage,Villeray-Saint-Michel-Parc-Extension,Récréatif
2312,089-0001,2790-000,Volleyball de plage,Saint-Laurent,Récréatif
2313,055-0018,2394-000,Piscine extérieure,Lachine,Récréatif
